sep=,
HRV ANALYSIS RESULTS - 30-Jan-2024 15:48:51
Kubios HRV Scientific
4.0.3
released in June 2023

Analyzed by:  -  - 

File name: C:\Users\Miran-Laptop\Documents\GitHub\AutoKelvin_VR\Assets\ppgDATA\2024.01.30\Threshold_1.csv
Measurement date:  
File type: asciiCUSTOMPPG
Channel label: EKG
Data length: 00:10:06 (h:min:s)
Measurement rate: 255 Hz

Parameters
 Number of samples: 10
 Detrending method: Smoothn priors (lambda: 500)
 Min/Max HR as average of: 5 beats
 Threshold for NNxx/pNNxx: 50 ms
 Frequency bands
  VLF: 0 - 0.04 Hz
  LF: 0.04 - 0.15 Hz
  HF: 0.15 - 0.4 Hz
 Interpolation rate: 4 Hz
 Points in frequency-domain: 300 points/Hz
 FFT spectrum options
  Window width: 300 s
  Window overlap: 50 %
 Use Lomb-Scargle periodogram instead of FFT: 0
 Lomb smoothing window: 0.02 Hz
 AR spectrum options
  AR model order: 16
  Use factorization: No
 Apply detrending for nonlinear analysis: 1
 Entropy, embedding dimension: 2
 Entropy, tolerance: 0.2 x SD
 DFA, short-term fluctuations: 4-12 beats
 DFA, long-term fluctuations: 13-64 beats
 RPA and D2, embedding dimension: 10
 RPA, threshold: 3.1623 x SD
 Time-varying options
  Window width: 300 s
  Grid interval: 60 s
  Spectrum estimation method: Spectrogram

Performed Analysis
 Standard analysis: Yes
 Time-varying analysis: Yes

RR Interval Samples Selected for Analysis
                              ,    Sample 1,    Sample 2,    Sample 3,    Sample 4,    Sample 5,    Sample 6,    Sample 7,    Sample 8,    Sample 9,   Sample 10,
  Sample limits (hh:mm:ss):   ,00:00:00-00:01:00,00:01:01-00:02:01,00:02:02-00:03:02,00:03:03-00:04:03,00:04:04-00:05:04,00:05:05-00:06:05,00:06:06-00:07:06,00:07:07-00:08:07,00:08:08-00:09:08,00:09:06-00:10:06,
  Sample Analysis Type: Single samples
  Beat correction: Automatic correction
  Beats total:                ,          85,          86,          87,          90,          92,          91,          93,          89,          88,          92,
  Beats corrected:            ,           0,           0,           0,           0,           2,           0,           0,           0,           2,           1,
  Beats corrected (%):        ,           0,           0,           0,           0,        2.17,           0,           0,           0,        2.27,        1.09,
  Effective data length (s):  ,          60,          60,          60,          60,          60,          60,          60,          60,          60,          60,
  Effective data length (%):  ,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,      100.00,


RESULTS FOR SINGLE SAMPLES
STANDARD RESULTS
                              ,    SAMPLE 1,            ,    SAMPLE 2,            ,    SAMPLE 3,            ,    SAMPLE 4,            ,    SAMPLE 5,            ,    SAMPLE 6,            ,    SAMPLE 7,            ,    SAMPLE 8,            ,    SAMPLE 9,            ,   SAMPLE 10,            ,
Results Overview              ,
  PNS index:                  ,     -1.6018,            ,     -1.6409,            ,     -1.5975,            ,     -1.9294,            ,     -1.9404,            ,     -1.9883,            ,     -1.9103,            ,     -1.8150,            ,     -1.8486,            ,     -2.0671,            ,
  SNS index:                  ,      2.2771,            ,      2.4594,            ,      2.4083,            ,      3.6268,            ,      2.9715,            ,      3.1286,            ,      2.2834,            ,      2.5512,            ,      2.7701,            ,      3.2383,            ,
  Stress index:               ,     14.8844,            ,     16.0876,            ,     15.7281,            ,     22.2576,            ,     17.0642,            ,     18.2761,            ,     11.5890,            ,     15.2805,            ,     16.5807,            ,     18.1629,            ,

Time-Domain Results           ,
 Statistical parameters       ,
  Mean RR  (ms):              ,    692.0941,            ,    693.5581,            ,    689.4943,            ,    668.8889,            ,    655.6734,            ,    660.1758,            ,    641.7204,            ,    671.8652,            ,    668.0482,            ,    645.9242,            ,
  SDNN (ms):                  ,     35.2873,            ,     33.7758,            ,     32.1088,            ,     22.5813,            ,     31.7374,            ,     29.1856,            ,     49.1308,            ,     36.3657,            ,     31.9412,            ,     26.8483,            ,
  Mean HR (beats/min):        ,     86.6934,            ,     86.5104,            ,     87.0203,            ,     89.7010,            ,     91.5090,            ,     90.8849,            ,     93.4987,            ,     89.3036,            ,     89.8139,            ,     92.8902,            ,
  SD HR (beats/min):          ,      4.5519,            ,      4.2334,            ,      4.1661,            ,      3.0461,            ,      4.4365,            ,      4.1204,            ,      7.2391,            ,      4.9427,            ,      4.3812,            ,      3.8964,            ,
  Min HR (beats/min):         ,     79.8722,            ,     79.6178,            ,     78.1657,            ,     83.9866,            ,     83.7054,            ,     84.2697,            ,     77.1208,            ,     79.2393,            ,     82.3271,            ,     84.1737,            ,
  Max HR (beats/min):         ,    102.5992,            ,     93.5745,            ,     96.2155,            ,     96.5873,            ,    104.2408,            ,    106.3830,            ,    106.1571,            ,    102.1798,            ,    100.2591,            ,    101.2146,            ,
  RMSSD (ms):                 ,     24.0289,            ,     22.5461,            ,     23.8055,            ,     15.6896,            ,     19.0599,            ,     16.8142,            ,     24.1614,            ,     21.1230,            ,     19.8418,            ,     16.1248,            ,
  NNxx (beats):               ,           3,            ,           4,            ,           4,            ,           0,            ,           2,            ,           0,            ,           5,            ,           2,            ,           1,            ,           1,            ,
  pNNxx (%):                  ,      3.5714,            ,      4.7059,            ,      4.6512,            ,      0.0000,            ,      2.1978,            ,      0.0000,            ,      5.4348,            ,      2.2727,            ,      1.1494,            ,      1.0989,            ,
  SDANN (ms):                 ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,         NaN,            ,
