,SDNN_HRV,RMSSD_HRV,LF_Power_HRV,HF_Power_HRV,LF/HF Ratio_HRV,,,,,,,,
SAMPLE 1,51.3555,53.8986,494.2028,856.5955,0.5769,,,,,,,,
SAMPLE 2,57.6088,54.909,2303.8771,780.8541,2.9505,,,,,,,,
SAMPLE 3,60.4802,41.9719,1270.5672,575.1822,2.209,,,,,,,,
SAMPLE 4,49.3206,47.7264,758.0429,1184.2905,0.6401,,,,,,,,
SAMPLE 5,59.1148,43.151,1047.5442,903.7692,1.1591,,,,,,,,
SAMPLE 6,57.5428,45.1529,1553.5413,887.4372,1.7506,,,,,,,,
SAMPLE 7,55.65,42.4028,550.3211,964.6296,0.5705,,,,,,,,
SAMPLE 8,51.5787,44.4679,1455.527,1162.1843,1.2524,,,,,,,,
SAMPLE 9,56.0306,32.6204,1182.6859,590.4527,2.003,,,,,,,,
SAMPLE 10,55.81,51.584,1702.7723,1546.4163,1.1011,,,,,,,,
SAMPLE 11,53.357,42.5879,886.2739,959.5258,0.9237,,,,,,,,
SAMPLE 12,47.3288,29.4429,1915.5216,473.0355,4.0494,,,,,,,,
SAMPLE 13,43.1786,37.0241,587.6457,436.1185,1.3474,,,,,,,,
SAMPLE 14,54.6684,52.6524,793.1418,1336.0173,0.5937,,,,,,,,
SAMPLE 15,58.8725,50.4041,1179.3521,1372.8259,0.8591,,,,,,,,
SAMPLE 16,62.1501,40.7643,4938.2994,895.7926,5.5128,,,,,,,,
SAMPLE 17,52.3545,33.7315,1829.7942,496.5669,3.6849,,,,,,,,
SAMPLE 18,34.8588,29.9348,205.6106,426.9754,0.4816,,,,,,,,
SAMPLE 19,41.333,34.3883,1134.635,561.1407,2.022,,,,,,,,
SAMPLE 20,50.4569,37.0663,1688.0887,477.7053,3.5337,,,,,,,,
,,,,,,,,,,,,,
,            ,,            ,,            ,,            ,,            ,,            ,,            
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,            ,,            ,,            ,,            ,,            ,,            ,,            
