,SDNN_Unity,RMSSD_Unity,LF_Power_Unity,HF_Power_Unity,LF/HF Ratio_Unity
SAMPLE 1,93.08051719,80.37777834,834.5906422,458.2428716,1.821284506
SAMPLE 2,104.6865836,137.8795754,824.5738052,462.1059522,1.784382567
SAMPLE 3,86.62046993,80.96712343,835.5754548,472.0897694,1.769950355
SAMPLE 4,112.6119732,113.1022948,838.8000268,464.2511153,1.806780854
SAMPLE 5,156.9515075,207.6963449,843.2405644,468.6668724,1.799232278
SAMPLE 6,120.5035666,167.4404097,851.199424,457.4788072,1.860631379
SAMPLE 7,167.9349323,186.8075828,831.6949637,474.9590564,1.751087704
SAMPLE 8,122.6389776,146.4411052,846.0676643,434.8659593,1.945582647
SAMPLE 9,551.6046746,763.9742595,810.2051039,481.4856578,1.682719081
SAMPLE 10,196.9296538,208.0823608,827.8221494,474.4250178,1.744895649
SAMPLE 11,418.163376,602.7016022,825.9844983,459.8051446,1.796379418
SAMPLE 12,569.4550736,826.1619153,841.5594287,472.5167835,1.781014893
SAMPLE 13,718.4463968,1057.303297,839.1133066,474.2785744,1.769241437
SAMPLE 14,505.3149424,674.0124797,827.8172331,458.9914089,1.803557141
SAMPLE 15,369.4409972,534.6956235,840.3974604,452.2678472,1.858185289
SAMPLE 16,629.9828636,893.1392479,841.6728728,464.8078707,1.810797377
SAMPLE 17,1469.26113,2121.211099,850.0881062,475.1540511,1.78907894
SAMPLE 18,1055.69249,1543.012057,857.4719416,474.5737197,1.806825591
SAMPLE 19,728.9140714,901.0941634,837.4551512,472.4519036,1.772572287
SAMPLE 20,714.0973024,1026.13246,856.7913484,455.9843871,1.87899273
