Time, Value, Peak Time, Peak Data, SDNN Time, SDNN Data, RMSSD Time, RMSSD Data, LF/HF Ratio Time, LF/HF Ratio Data, LF_Power, HF_Power, PPI
0:0:0:20, 2004, 0:0:0:20, 0, 0:0:0:20, 0, 0:0:0:20, 0, 0:0:0:20, 0, 0, 0, 0
0:0:0:23, 2021, 0:0:0:23, 0, 0:0:0:23, 0, 0:0:0:23, 0, 0:0:0:23, 0, 0, 0, 0
0:0:0:23, 2039, 0:0:0:23, 0, 0:0:0:23, 0, 0:0:0:23, 0, 0:0:0:23, 0, 0, 0, 0
0:0:0:24, 2058, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0, 0, 0
0:0:0:24, 2080, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0, 0, 0
0:0:0:24, 2104, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0, 0, 0
0:0:0:24, 2127, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0, 0, 0
0:0:0:24, 2145, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0, 0, 0
0:0:0:24, 2162, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0:0:0:24, 0, 0, 0, 0
0:0:0:25, 2177, 0:0:0:25, 0, 0:0:0:25, 0, 0:0:0:25, 0, 0:0:0:25, 0, 0, 0, 0
0:0:0:25, 2189, 0:0:0:25, 0, 0:0:0:25, 0, 0:0:0:25, 0, 0:0:0:25, 0, 0, 0, 0
0:0:0:26, 2195, 0:0:0:26, 0, 0:0:0:26, 0, 0:0:0:26, 0, 0:0:0:26, 0, 0, 0, 0
0:0:0:26, 2200, 0:0:0:26, 0, 0:0:0:26, 0, 0:0:0:26, 0, 0:0:0:26, 0, 0, 0, 0
0:0:0:27, 2202, 0:0:0:27, 0, 0:0:0:27, 0, 0:0:0:27, 0, 0:0:0:27, 0, 0, 0, 0
0:0:0:27, 2204, 0:0:0:27, 0, 0:0:0:27, 0, 0:0:0:27, 0, 0:0:0:27, 0, 0, 0, 0
0:0:0:27, 2201, 0:0:0:27, 0, 0:0:0:27, 0, 0:0:0:27, 0, 0:0:0:27, 0, 0, 0, 0
0:0:0:29, 2196, 0:0:0:29, 0, 0:0:0:29, 0, 0:0:0:29, 0, 0:0:0:29, 0, 0, 0, 0
0:0:0:29, 2188, 0:0:0:29, 0, 0:0:0:29, 0, 0:0:0:29, 0, 0:0:0:29, 0, 0, 0, 0
0:0:0:29, 2178, 0:0:0:29, 0, 0:0:0:29, 0, 0:0:0:29, 0, 0:0:0:29, 0, 0, 0, 0
0:0:0:30, 2165, 0:0:0:30, 0, 0:0:0:30, 0, 0:0:0:30, 0, 0:0:0:30, 0, 0, 0, 0
0:0:0:30, 2151, 0:0:0:30, 0, 0:0:0:30, 0, 0:0:0:30, 0, 0:0:0:30, 0, 0, 0, 0
0:0:0:30, 2139, 0:0:0:30, 0, 0:0:0:30, 0, 0:0:0:30, 0, 0:0:0:30, 0, 0, 0, 0
0:0:0:30, 2127, 0:0:0:30, 0, 0:0:0:30, 0, 0:0:0:30, 0, 0:0:0:30, 0, 0, 0, 0
0:0:0:31, 2116, 0:0:0:31, 0, 0:0:0:31, 0, 0:0:0:31, 0, 0:0:0:31, 0, 0, 0, 0
0:0:0:31, 2102, 0:0:0:31, 0, 0:0:0:31, 0, 0:0:0:31, 0, 0:0:0:31, 0, 0, 0, 0
0:0:0:31, 2089, 0:0:0:31, 0, 0:0:0:31, 0, 0:0:0:31, 0, 0:0:0:31, 0, 0, 0, 0
